City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kavieng,PG,2021-11-03 19:39:24,-2.5744,150.7967,81.97,80,70,14.14
68,Cervo,ES,2021-11-03 19:39:25,43.6702,-7.4101,49.96,76,100,7.23
69,Huilong,CN,2021-11-03 19:39:25,31.8111,121.655,63.03,69,88,4.72
70,Vaini,TO,2021-11-03 19:39:26,-21.2,-175.2,78.96,94,75,9.22
71,Dzaoudzi,YT,2021-11-03 19:39:26,-12.7887,45.2699,80.49,83,0,5.75
72,Hobart,AU,2021-11-03 19:39:26,-42.8794,147.3294,50.02,93,20,3.44
73,Porbandar,IN,2021-11-03 19:39:27,21.6422,69.6093,78.87,44,98,10.94
74,Port Hedland,AU,2021-11-03 19:39:27,-20.3167,118.5667,71.65,83,5,6.91
75,Goderich,CA,2021-11-03 19:39:28,43.7501,-81.7165,42.91,93,100,5.75
76,Ponta Delgada,PT,2021-11-03 19:39:28,37.7333,-25.6667,67.5,94,75,13.8
77,Hithadhoo,MV,2021-11-03 19:39:29,-0.6,73.0833,82.18,76,100,14.67
78,Port Elizabeth,ZA,2021-11-03 19:36:35,-33.918,25.5701,59.09,88,0,5.75
79,Sarankhola,BD,2021-11-03 19:39:29,22.3082,89.7897,66.18,77,99,4.94
80,Burnie,AU,2021-11-03 19:39:30,-41.0667,145.9167,49.19,86,4,6.53
81,Bambous Virieux,MU,2021-11-03 19:39:28,-20.3428,57.7575,73.65,83,75,6.91
82,Ilulissat,GL,2021-11-03 19:39:30,69.2167,-51.1,37.42,56,40,13.8
83,Korla,CN,2021-11-03 19:39:31,41.7597,86.1469,44.06,35,73,3.51
84,Puerto Colombia,CO,2021-11-03 19:39:31,10.9878,-74.9547,89.69,71,31,1.77
85,Innisfail,AU,2021-11-03 19:39:32,-17.5333,146.0333,74.52,84,70,7.99
86,Dingle,PH,2021-11-03 19:39:32,10.9995,122.6711,75.6,92,100,6.6
87,Georgetown,MY,2021-11-03 19:39:33,5.4112,100.3354,78.73,89,20,1.01
88,Bethel,US,2021-11-03 19:39:33,41.3712,-73.414,52.81,53,20,1.99
89,Porto Santo,PT,2021-11-03 19:40:33,33.072,-16.3415,73.31,78,40,12.66
90,Marsa Matruh,EG,2021-11-03 19:39:24,31.3525,27.2453,73.98,70,0,9.31
91,Pangoa,PE,2021-11-03 19:40:34,-12.1167,-73.0,78.96,62,100,3.36
92,Itupiranga,BR,2021-11-03 19:40:34,-5.1347,-49.3267,91.72,67,100,2.26
93,Bredasdorp,ZA,2021-11-03 19:40:35,-34.5322,20.0403,64.27,63,0,9.22
94,Ibipeba,BR,2021-11-03 19:40:35,-11.6408,-42.0111,79.41,61,97,5.48
95,Denpasar,ID,2021-11-03 19:36:41,-8.65,115.2167,78.46,88,75,9.22
96,Zyryanka,RU,2021-11-03 19:40:36,65.75,150.85,-6.21,92,31,5.17
97,Butaritari,KI,2021-11-03 19:40:37,3.0707,172.7902,82.99,70,99,14.99
98,Ribeira Grande,PT,2021-11-03 19:40:37,38.5167,-28.7,68.4,94,75,25.32
99,Gdynia,PL,2021-11-03 19:40:38,54.5189,18.5319,44.26,86,75,6.91
100,Banjar,ID,2021-11-03 19:40:38,-8.19,114.9675,78.66,89,100,4.38
101,Coshocton,US,2021-11-03 19:37:51,40.272,-81.8596,51.48,41,75,1.99
102,Lodja,CD,2021-11-03 19:40:38,-3.4833,23.4333,66.88,98,100,2.89
103,Sitka,US,2021-11-03 19:40:39,57.0531,-135.33,46.29,87,90,10.36
104,Nanortalik,GL,2021-11-03 19:40:39,60.1432,-45.2371,38.32,88,100,6.85
105,Mayo,US,2021-11-03 19:40:40,38.8876,-76.5119,54.36,44,1,7.0
106,Qaanaaq,GL,2021-11-03 19:40:04,77.484,-69.3632,4.24,59,0,8.34
107,Kajaani,FI,2021-11-03 19:40:40,64.2273,27.7285,39.25,100,90,6.91
108,Sosva,RU,2021-11-03 19:40:41,59.1766,61.8558,22.71,93,24,6.91
109,Bako,ET,2021-11-03 19:40:41,5.7833,36.5667,68.45,43,6,3.96
110,Zemio,CF,2021-11-03 19:40:42,5.0314,25.1361,69.46,96,88,2.53
111,Mnogovershinnyy,RU,2021-11-03 19:40:42,53.9353,139.9242,22.12,76,100,3.04
112,Katangli,RU,2021-11-03 19:40:43,51.7102,143.2326,31.39,84,7,6.62
113,Carnarvon,AU,2021-11-03 19:39:38,-24.8667,113.6333,66.27,77,0,16.11
